driver,n_subjects,noise_scaling,response,model_name,prop_converged,prop_singular,n_fits
mel,20,2,simulated_log10,phot,1,0,1000
mel,20,2,simulated_log10,rho,1,0,1000
mel,20,4,simulated_log10,mel,1,0,1000
mel,20,4,simulated_log10,phot,1,0.001,1000
mel,20,4,simulated_log10,rho,1,0,1000
mel,20,6,simulated_log10,mel,1,0,1000
mel,20,6,simulated_log10,phot,1,0.015,1000
mel,20,6,simulated_log10,rho,1,0,1000
mel,20,8,simulated_log10,mel,1,0.022,1000
mel,20,8,simulated_log10,phot,1,0.079,1000
mel,20,8,simulated_log10,rho,1,0.022,1000
mel,20,10,simulated_log10,mel,1,0.065,1000
mel,20,10,simulated_log10,phot,1,0.154,1000
mel,20,10,simulated_log10,rho,1,0.069,1000
mel,21,0.5,simulated_log10,mel,1,0,1000
mel,21,0.5,simulated_log10,phot,1,0,1000
mel,21,0.5,simulated_log10,rho,1,0,1000
mel,21,1,simulated_log10,mel,1,0,1000
mel,21,1,simulated_log10,phot,1,0,1000
mel,21,1,simulated_log10,rho,1,0,1000
mel,21,2,simulated_log10,mel,1,0,1000
mel,21,2,simulated_log10,phot,1,0,1000
mel,21,2,simulated_log10,rho,1,0,1000
mel,21,4,simulated_log10,mel,1,0,1000
mel,21,4,simulated_log10,phot,1,0.001,1000
mel,21,4,simulated_log10,rho,1,0,1000
mel,21,6,simulated_log10,mel,1,0,1000
mel,21,6,simulated_log10,phot,1,0.008,1000
mel,21,6,simulated_log10,rho,1,0,1000
mel,21,8,simulated_log10,mel,1,0.016,1000
mel,21,8,simulated_log10,phot,1,0.065,1000
mel,21,8,simulated_log10,rho,1,0.02,1000
mel,21,10,simulated_log10,mel,1,0.07,1000
mel,21,10,simulated_log10,phot,0.999,0.153,1000
mel,21,10,simulated_log10,rho,1,0.078,1000
mel,22,0.5,simulated_log10,mel,1,0,1000
mel,22,0.5,simulated_log10,phot,1,0,1000
mel,22,0.5,simulated_log10,rho,1,0,1000
mel,22,1,simulated_log10,mel,1,0,1000
mel,22,1,simulated_log10,phot,1,0,1000
mel,22,1,simulated_log10,rho,1,0,1000
mel,22,2,simulated_log10,mel,1,0,1000
mel,22,2,simulated_log10,phot,1,0,1000
mel,22,2,simulated_log10,rho,1,0,1000
mel,22,4,simulated_log10,mel,1,0,1000
mel,22,4,simulated_log10,phot,1,0,1000
mel,22,4,simulated_log10,rho,1,0,1000
mel,22,6,simulated_log10,mel,1,0.002,1000
mel,22,6,simulated_log10,phot,1,0.01,1000
mel,22,6,simulated_log10,rho,1,0.003,1000
mel,22,8,simulated_log10,mel,1,0.019,1000
mel,22,8,simulated_log10,phot,1,0.065,1000
mel,22,8,simulated_log10,rho,1,0.021,1000
mel,22,10,simulated_log10,mel,1,0.069,1000
mel,22,10,simulated_log10,phot,1,0.151,1000
mel,22,10,simulated_log10,rho,1,0.075,1000
mel,23,0.5,simulated_log10,mel,1,0,1000
mel,23,0.5,simulated_log10,phot,1,0,1000
mel,23,0.5,simulated_log10,rho,1,0,1000
mel,23,1,simulated_log10,mel,1,0,1000
mel,23,1,simulated_log10,phot,1,0,1000
mel,23,1,simulated_log10,rho,1,0,1000
mel,23,2,simulated_log10,mel,1,0,1000
mel,23,2,simulated_log10,phot,1,0,1000
mel,23,2,simulated_log10,rho,1,0,1000
mel,23,4,simulated_log10,mel,1,0,1000
mel,23,4,simulated_log10,phot,1,0,1000
mel,23,4,simulated_log10,rho,1,0,1000
mel,23,6,simulated_log10,mel,1,0.001,1000
mel,23,6,simulated_log10,phot,1,0.009,1000
mel,23,6,simulated_log10,rho,1,0.001,1000
mel,23,8,simulated_log10,mel,1,0.018,1000
mel,23,8,simulated_log10,phot,1,0.063,1000
mel,23,8,simulated_log10,rho,1,0.02,1000
mel,23,10,simulated_log10,mel,1,0.043,1000
mel,23,10,simulated_log10,phot,1,0.125,1000
mel,23,10,simulated_log10,rho,1,0.05,1000
mel,24,0.5,simulated_log10,mel,1,0,1000
mel,24,0.5,simulated_log10,phot,1,0,1000
mel,24,0.5,simulated_log10,rho,1,0,1000
mel,24,1,simulated_log10,mel,1,0,1000
mel,24,1,simulated_log10,phot,1,0,1000
mel,24,1,simulated_log10,rho,1,0,1000
mel,24,2,simulated_log10,mel,1,0,1000
mel,24,2,simulated_log10,phot,1,0,1000
mel,24,2,simulated_log10,rho,1,0,1000
mel,24,4,simulated_log10,mel,1,0,1000
mel,24,4,simulated_log10,phot,1,0,1000
mel,24,4,simulated_log10,rho,1,0,1000
mel,24,6,simulated_log10,mel,1,0,1000
mel,24,6,simulated_log10,phot,0.999,0.005,1000
mel,24,6,simulated_log10,rho,1,0,1000
mel,24,8,simulated_log10,mel,1,0.007,1000
mel,24,8,simulated_log10,phot,1,0.051,1000
mel,24,8,simulated_log10,rho,1,0.009,1000
mel,24,10,simulated_log10,mel,1,0.048,1000
mel,24,10,simulated_log10,phot,1,0.127,1000
mel,24,10,simulated_log10,rho,1,0.054,1000
mel,25,0.5,simulated_log10,mel,1,0,1000
mel,25,0.5,simulated_log10,phot,1,0,1000
mel,25,0.5,simulated_log10,rho,1,0,1000
mel,25,1,simulated_log10,mel,1,0,1000
mel,25,1,simulated_log10,phot,1,0,1000
mel,25,1,simulated_log10,rho,1,0,1000
mel,25,2,simulated_log10,mel,1,0,1000
mel,25,2,simulated_log10,phot,1,0,1000
mel,25,2,simulated_log10,rho,1,0,1000
mel,25,4,simulated_log10,mel,1,0,1000
mel,25,4,simulated_log10,phot,1,0,1000
mel,25,4,simulated_log10,rho,1,0,1000
mel,25,6,simulated_log10,mel,1,0,1000
mel,25,6,simulated_log10,phot,1,0.01,1000
mel,25,6,simulated_log10,rho,1,0,1000
mel,25,8,simulated_log10,mel,1,0.008,1000
mel,25,8,simulated_log10,phot,1,0.056,1000
mel,25,8,simulated_log10,rho,1,0.011,1000
mel,25,10,simulated_log10,mel,1,0.046,1000
mel,25,10,simulated_log10,phot,1,0.125,1000
mel,25,10,simulated_log10,rho,1,0.053,1000
mel,26,0.5,simulated_log10,mel,1,0,1000
mel,26,0.5,simulated_log10,phot,1,0,1000
mel,26,0.5,simulated_log10,rho,1,0,1000
mel,26,1,simulated_log10,mel,1,0,1000
mel,26,1,simulated_log10,phot,1,0,1000
mel,26,1,simulated_log10,rho,1,0,1000
mel,26,2,simulated_log10,mel,1,0,1000
mel,26,2,simulated_log10,phot,1,0,1000
mel,26,2,simulated_log10,rho,1,0,1000
mel,26,4,simulated_log10,mel,1,0,1000
mel,26,4,simulated_log10,phot,1,0.001,1000
mel,26,4,simulated_log10,rho,1,0,1000
mel,26,6,simulated_log10,mel,1,0.001,1000
mel,26,6,simulated_log10,phot,1,0.007,1000
mel,26,6,simulated_log10,rho,1,0.001,1000
mel,26,8,simulated_log10,mel,1,0.008,1000
mel,26,8,simulated_log10,phot,1,0.051,1000
mel,26,8,simulated_log10,rho,1,0.009,1000
mel,26,10,simulated_log10,mel,1,0.041,1000
mel,26,10,simulated_log10,phot,1,0.132,1000
mel,26,10,simulated_log10,rho,1,0.044,1000
mel,27,0.5,simulated_log10,mel,1,0,1000
mel,27,0.5,simulated_log10,phot,1,0,1000
mel,27,0.5,simulated_log10,rho,1,0,1000
mel,27,1,simulated_log10,mel,1,0,1000
mel,27,1,simulated_log10,phot,1,0,1000
mel,27,1,simulated_log10,rho,1,0,1000
