driver,noise_scaling,n_subjects,evidence,n,prop
mel,4,32,Favours rho model,21,0.021
mel,4,32,No clear preference,64,0.064
mel,4,33,Favours mel model,917,0.917
mel,4,33,Favours phot model,0,0
mel,4,33,Favours rho model,21,0.021
mel,4,33,No clear preference,62,0.062
mel,4,34,Favours mel model,938,0.938
mel,4,34,Favours phot model,0,0
mel,4,34,Favours rho model,15,0.015
mel,4,34,No clear preference,47,0.047
mel,4,35,Favours mel model,957,0.957
mel,4,35,Favours phot model,0,0
mel,4,35,Favours rho model,12,0.012
mel,4,35,No clear preference,31,0.031
mel,4,36,Favours mel model,951,0.951
mel,4,36,Favours phot model,0,0
mel,4,36,Favours rho model,14,0.014
mel,4,36,No clear preference,35,0.035
